route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,13,10_1002_13_26700,,,1,,shp_10_1002,0,0
13,15,13_1301_15_55200,,,0,,shp_13_1301,0,0
3,7,3_304_7_68700,,,1,,shp_3_304,0,0
5,15,5_502_15_63900,,,1,,shp_5_502,0,0
3,15,3_303_15_57780,,,0,,shp_3_303,0,0
20,15,20_2001_15_63900,,,0,,shp_20_2001,0,0
5,15,5_501_15_48300,,,0,,shp_5_501,0,0
8,15,8_801_15_60000,,,0,,shp_8_801,0,0
8,15,8_801_15_25500,,,0,,shp_8_801,0,0
5,14,5_501_14_66300,,,0,,shp_5_501,0,0
13,7,13_1302_7_64800,,,1,,shp_13_1302,0,0
8,7,8_802_7_50400,,,1,,shp_8_802,0,0
13,13,13_1302_13_54600,,,1,,shp_13_1302,0,0
5,7,5_501_7_41100,,,0,,shp_5_501,0,0
6,15,6_602_15_64200,,,1,,shp_6_602,0,0
10,14,10_1002_14_71700,,,1,,shp_10_1002,0,0
10,14,10_1002_14_60900,,,1,,shp_10_1002,0,0
3,15,3_304_15_72000,,,1,,shp_3_304,0,0
13,13,13_1302_13_43800,,,1,,shp_13_1302,0,0
11,13,11_1102_13_60000,,,1,,shp_11_1102,0,0
11,15,11_1101_15_54600,,,0,,shp_11_1101,0,0
4,13,4_403_13_59580,,,0,,shp_4_403,0,0
3,14,3_304_14_69300,,,1,,shp_3_304,0,0
6,7,6_602_7_80100,,,1,,shp_6_602,0,0
10,15,10_1002_15_42900,,,1,,shp_10_1002,0,0
12,7,12_1202_7_56700,,,1,,shp_12_1202,0,0
7,7,7_702_7_81900,,,1,,shp_7_702,0,0
10,15,10_1002_15_53700,,,1,,shp_10_1002,0,0
5,15,5_501_15_37500,,,0,,shp_5_501,0,0
5,13,5_502_13_36900,,,1,,shp_5_502,0,0
6,15,6_602_15_53400,,,1,,shp_6_602,0,0
4,13,4_403_13_48780,,,0,,shp_4_403,0,0
13,15,13_1301_15_44400,,,0,,shp_13_1301,0,0
41,7,41_4102_7_7500,,,1,,shp_41_4102,0,0
5,14,5_501_14_77100,,,0,,shp_5_501,0,0
6,7,6_602_7_42600,,,1,,shp_6_602,0,0
5,13,5_502_13_47700,,,1,,shp_5_502,0,0
4,13,4_404_13_63000,,,1,,shp_4_404,0,0
5,15,5_501_15_59100,,,0,,shp_5_501,0,0
11,14,11_1101_14_44100,,,0,,shp_11_1101,0,0
11,15,11_1101_15_43800,,,0,,shp_11_1101,0,0
3,14,3_303_14_22680,,,0,,shp_3_303,0,0
5,14,5_502_14_29700,,,1,,shp_5_502,0,0
20,15,20_2002_15_64800,,,1,,shp_20_2002,0,0
3,13,3_303_13_40680,,,0,,shp_3_303,0,0
12,7,12_1202_7_45900,,,1,,shp_12_1202,0,0
11,14,11_1101_14_33300,,,0,,shp_11_1101,0,0
10,13,10_1003_13_62100,,,0,,shp_10_1003,0,0
10,14,10_1003_14_44100,,,0,,shp_10_1003,0,0
5,13,5_502_13_58500,,,1,,shp_5_502,0,0
13,13,13_1301_13_25200,,,0,,shp_13_1301,0,0
3,13,3_304_13_34200,,,1,,shp_3_304,0,0
13,7,13_1301_7_39600,,,0,,shp_13_1301,0,0
3,13,3_303_13_62280,,,0,,shp_3_303,0,0
41,14,41_4101_14_16200,,,0,,shp_41_4101,0,0
12,14,12_1201_14_36900,,,0,,shp_12_1201,0,0
13,7,13_1302_7_75600,,,1,,shp_13_1302,0,0
3,15,3_303_15_26280,,,0,,shp_3_303,0,0
10,14,10_1002_14_82500,,,1,,shp_10_1002,0,0
8,7,8_801_7_33000,,,0,,shp_8_801,0,0
3,13,3_303_13_19980,,,0,,shp_3_303,0,0
9,13,9_901_13_55800,,,0,,shp_9_901,0,0
8,7,8_802_7_61200,,,1,,shp_8_802,0,0
5,13,5_501_13_73500,,,0,,shp_5_501,0,0
3,14,3_303_14_64980,,,0,,shp_3_303,0,0
12,15,12_1202_15_51300,,,1,,shp_12_1202,0,0
2,14,2_203_14_60300,,,0,,shp_2_203,0,0
